"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"ET","ETH","ET553","ETH553","553","YYZ","CYYZ","1","2023-06-08 11:00","ADD","HAAB",NA,780
"AA","AAL","AA6110","AAL6110","6110","YYZ","CYYZ","3","2023-06-08 11:01","PHL","KPHL",NA,93
"CM","CMP","CM2812","CMP2812","2812","YYZ","CYYZ","1","2023-06-08 11:00","ORD","KORD",NA,119
"QF","QFA","QF3990","QFA3990","3990","YYZ","CYYZ","3","2023-06-08 11:00","LAX","KLAX",NA,309
"VS","VIR","VS8167","VIR8167","8167","YYZ","CYYZ","3","2023-06-08 11:00","YYC","CYYC",NA,254
"WO","WSW","WO640","WSW640","640","YYZ","CYYZ","3","2023-06-08 11:05","CUN","MMUN",4,245
"RV","ROU","RV1644","ROU1644","1644","YYZ","CYYZ","1","2023-06-08 09:50","MIA","KMIA",50,190
NA,"SYB",NA,"SYB924","924","YYZ","CYYZ",NA,"2023-06-08 11:00","BOS","KBOS",NA,91
"AZ","ITY","AZ3414","ITY3414","3414","YYZ","CYYZ","3","2023-06-08 11:10","JFK","KJFK",1,101
"AC","ACA","AC1931","ACA1931","1931","YYZ","CYYZ","1","2023-06-08 10:35","YXE","CYXE",13,215
"1I","EJA","1I682","EJA682","682","YYZ","CYYZ",NA,"2023-06-08 11:00","BUF","KBUF",NA,NA
"YX","RPA","YX4312","RPA4312","4312","YYZ","CYYZ","3","2023-06-08 10:59","LGA","KLGA",16,92
"DL","DAL","DL1183","DAL1183","1183","YYZ","CYYZ","3","2023-06-08 11:29","ATL","KATL",NA,135
"UA","UAL","UA8341","UAL8341","8341","YYZ","CYYZ",NA,"2023-06-08 08:20","CLE","KCLE",NA,226
"UA","UAL","UA6632","UAL6632","6632","YYZ","CYYZ","1","2023-06-08 11:00","JFK","KJFK",22,96
"AC","ACA","AC167","ACA167","167","YYZ","CYYZ","1","2023-06-08 11:05","YEG","CYEG",17,255
"AC","ACA","AC8410","ACA8410","8410","YYZ","CYYZ","1","2023-06-08 09:25","YQX","CYQX",119,170
"AC","ACA","AC107","ACA107","107","YYZ","CYYZ","1","2023-06-08 09:00","YVR","CYVR",125,300
"ZW","AWI","ZW6255","AWI6255","6255","YYZ","CYYZ","3","2023-06-08 11:35","ORD","KORD",NA,113
"UA","UAL","UA8664","UAL8664","8664","YYZ","CYYZ","1","2023-06-08 11:30","EWR","KEWR",10,90
"AA","AAL","AA5020","AAL5020","5020","YYZ","CYYZ","3","2023-06-08 12:00","CLT","KCLT",NA,122
"AZ","ITY","AZ5844","ITY5844","5844","YYZ","CYYZ","3","2023-06-08 12:02","DTW","KDTW",NA,80
"AC","ACA","AC408","ACA408","408","YYZ","CYYZ","1","2023-06-08 11:00","YUL","CYUL",45,77
"AI","AIC","AI188","AIC188","188","YYZ","CYYZ","1","2023-06-08 12:15","DEL","VIDP",NA,820
"EK","UAE","EK5755","UAE5755","5755","YYZ","CYYZ","1","2023-06-08 12:10","YOW","CYOW",NA,63
"TK","THY","TK8666","THY8666","8666","YYZ","CYYZ","1","2023-06-08 12:00","BNA","KBNA",3,129
"WS","WJA","WS305","WJA305","305","YYZ","CYYZ","3","2023-06-08 12:00","YWG","CYWG",7,155
"UA","UAL","UA8645","UAL8645","8645","YYZ","CYYZ","1","2023-06-08 12:15","BOS","KBOS",NA,91
"UA","UAL","UA8336","UAL8336","8336","YYZ","CYYZ","1","2023-06-08 12:20","YWG","CYWG",NA,160
"OO","SKW","OO3899","SKW3899","3899","YYZ","CYYZ","3","2023-06-08 12:25","MSP","KMSP",NA,130
"AC","ACA","AC8990","ACA8990","8990","YYZ","CYYZ","1","2023-06-08 11:55","LGA","KLGA",26,87
"WS","WJA","WS6388","WJA6388","6388","YYZ","CYYZ","3","2023-06-08 12:00","LGA","KLGA",25,94
"EK","UAE","EK4673","UAE4673","4673","YYZ","CYYZ","3","2023-06-08 12:15","YEG","CYEG",13,250
"EK","UAE","EK5783","UAE5783","5783","YYZ","CYYZ","1","2023-06-08 12:35","YYT","CYYT",NA,181
"UA","UAL","UA8694","UAL8694","8694","YYZ","CYYZ","1","2023-06-08 12:30","ORD","KORD",2,110
"AA","AAL","AA5665","AAL5665","5665","YYZ","CYYZ","3","2023-06-08 12:47","DCA","KDCA",NA,101
"F8","FLE","F8637","FLE637","637","YYZ","CYYZ","3","2023-06-08 12:35","YEG","CYEG",NA,255
"F8","FLE","F8621","FLE621","621","YYZ","CYYZ","3","2023-06-08 12:35","YYC","CYYC",NA,255
"QK","JZA","QK8836","JZA8836","8836","YYZ","CYYZ","1","2023-06-08 12:35","RDU","KRDU",1,105
"1I","EJA","1I631","EJA631","631","YYZ","CYYZ",NA,"2023-06-08 13:00","TEB","KTEB",NA,NA
"WS","WJA","WS6064","WJA6064","6064","YYZ","CYYZ","3","2023-06-08 12:40","ICN","RKSI",NA,880
"UA","UAL","UA3649","UAL3649","3649","YYZ","CYYZ","1","2023-06-08 12:45","EWR","KEWR",NA,105
"TS","TSC","TS2518","TSC2518","2518","YYZ","CYYZ","3","2023-06-08 12:45","MBJ","MKJS",NA,245
"AC","ACA","AC1019","ACA1019","1019","YYZ","CYYZ","1","2023-06-08 12:50","ATL","KATL",NA,128
"NH","ANA","NH6813","ANA6813","6813","YYZ","CYYZ","1","2023-06-08 12:55","NRT","RJAA",NA,795
"YX","RPA","YX4382","RPA4382","4382","YYZ","CYYZ","3","2023-06-08 12:57","LGA","KLGA",NA,92
"TS","TSC","TS7907","TSC7907","7907","YYZ","CYYZ","3","2023-06-08 13:00","YVR","CYVR",NA,306
"QF","QFA","QF3355","QFA3355","3355","YYZ","CYYZ","3","2023-06-08 12:00","YVR","CYVR",48,307
"AC","ACA","AC113","ACA113","113","YYZ","CYYZ","1","2023-06-08 13:05","YVR","CYVR",NA,310
"PD","POE","PD357","POE357","357","YYZ","CYYZ","3","2023-06-08 13:05","YYC","CYYC",NA,254
"AC","ACA","AC169","ACA169","169","YYZ","CYYZ","1","2023-06-08 12:50","YEG","CYEG",15,255
"DL","DAL","DL1771","DAL1771","1771","YYZ","CYYZ","3","2023-06-08 13:10","ATL","KATL",NA,135
"TS","TSC","TS7927","TSC7927","7927","YYZ","CYYZ","3","2023-06-08 13:10","YHZ","CYHZ",NA,125
"OS","AUA","OS8331","AUA8331","8331","YYZ","CYYZ","1","2023-06-08 13:10","YOW","CYOW",NA,63
"BA","BAW","BA5541","BAW5541","5541","YYZ","CYYZ","3","2023-06-08 13:15","ORD","KORD",NA,122
"TS","TSC","TS7945","TSC7945","7945","YYZ","CYYZ","3","2023-06-08 13:15","YEG","CYEG",NA,250
"PD","POE","PD163","POE163","163","YYZ","CYYZ","3","2023-06-08 13:20","YOW","CYOW",NA,63
"AC","ACA","AC1","ACA1","1","YYZ","CYYZ","1","2023-06-08 13:25","HND","RJTT",NA,795
"AS","ASA","AS4214","ASA4214","4214","YYZ","CYYZ","3","2023-06-08 13:27","DFW","KDFW",NA,208
"AC","ACA","AC712","ACA712","712","YYZ","CYYZ","1","2023-06-08 13:30","LGA","KLGA",NA,92
"WO","WSW","WO311","WSW311","311","YYZ","CYYZ","3","2023-06-08 13:30","YXX","CYXX",NA,295
"WS","WJA","WS661","WJA661","661","YYZ","CYYZ","3","2023-06-08 13:35","YYC","CYYC",NA,254
"F8","FLE","F8645","FLE645","645","YYZ","CYYZ","3","2023-06-08 13:35","YWG","CYWG",NA,160
"RV","ROU","RV1662","ROU1662","1662","YYZ","CYYZ","1","2023-06-08 13:40","RSW","KRSW",NA,182
"F8","FLE","F8654","FLE654","654","YYZ","CYYZ","3","2023-06-08 13:40","YHZ","CYHZ",NA,135
"F8","FLE","F8661","FLE661","661","YYZ","CYYZ","3","2023-06-08 13:40","YXX","CYXX",NA,315
"WO","WSW","WO744","WSW744","744","YYZ","CYYZ","3","2023-06-08 13:45","LAS","KLAS",NA,280
"BW","BWA","BW3078","BWA3078","3078","YYZ","CYYZ","3","2023-06-08 12:45","KIN","MKJP",60,255
"RV","ROU","RV1933","ROU1933","1933","YYZ","CYYZ","1","2023-06-08 13:50","YXE","CYXE",NA,215
"AC","ACA","AC7800","ACA7800","7800","YYZ","CYYZ","1","2023-06-08 13:30","YUL","CYUL",NA,70
"PD","POE","PD2295","POE2295","2295","YYZ","CYYZ","3","2023-06-08 13:55","YUL","CYUL",NA,76
"PK","PIA","PK784","PIA784","784","YYZ","CYYZ","3","2023-06-08 13:55","KHI","OPKC",NA,840
"QK","JZA","QK8731","JZA8731","8731","YYZ","CYYZ","1","2023-06-08 13:20","CLE","KCLE",40,62
"QK","JZA","QK8719","JZA8719","8719","YYZ","CYYZ","1","2023-06-08 14:00","MSP","KMSP",NA,130
"QK","JZA","QK8618","JZA8618","8618","YYZ","CYYZ","1","2023-06-08 14:00","IAD","KIAD",NA,85
"QF","QFA","QF3978","QFA3978","3978","YYZ","CYYZ","3","2023-06-08 14:00","YVR","CYVR",NA,307
"MS","MSR","MS9602","MSR9602","9602","YYZ","CYYZ","1","2023-06-08 14:00","YUL","CYUL",NA,77
"MS","MSR","MS9640","MSR9640","9640","YYZ","CYYZ","1","2023-06-08 14:00","YHZ","CYHZ",NA,125
"OZ","AAR","OZ6113","AAR6113","6113","YYZ","CYYZ","1","2023-06-08 14:00","ICN","RKSI",NA,870
"QK","JZA","QK8895","JZA8895","8895","YYZ","CYYZ","1","2023-06-08 14:00","IND","KIND",NA,92
"QK","JZA","QK8878","JZA8878","8878","YYZ","CYYZ","1","2023-06-08 14:00","EWR","KEWR",NA,90
"AC","ACA","AC1812","ACA1812","1812","YYZ","CYYZ","1","2023-06-08 13:55","CUN","MMUN",NA,235
"AC","ACA","AC8773","ACA8773","8773","YYZ","CYYZ","1","2023-06-08 14:05","DTW","KDTW",NA,67
"AC","ACA","AC8305","ACA8305","8305","YYZ","CYYZ","1","2023-06-08 13:55","YQT","CYQT",NA,107
"AC","ACA","AC8682","ACA8682","8682","YYZ","CYYZ","1","2023-06-08 14:15","BWI","KBWI",NA,83
"UA","UAL","UA8165","UAL8165","8165","YYZ","CYYZ","1","2023-06-08 14:15","CMH","KCMH",NA,78
"UA","UAL","UA8599","UAL8599","8599","YYZ","CYYZ","1","2023-06-08 14:15","CVG","KCVG",NA,90
"AC","ACA","AC8201","ACA8201","8201","YYZ","CYYZ","1","2023-06-08 14:00","YAM","CYAM",NA,82
"AC","ACA","AC8909","ACA8909","8909","YYZ","CYYZ","1","2023-06-08 14:00","ORD","KORD",20,110
"EK","UAE","EK5765","UAE5765","5765","YYZ","CYYZ","1","2023-06-08 14:00","YSB","CYSB",NA,60
"UA","UAL","UA8072","UAL8072","8072","YYZ","CYYZ","1","2023-06-08 14:00","PHL","KPHL",NA,87
"UA","UAL","UA8325","UAL8325","8325","YYZ","CYYZ","1","2023-06-08 14:25","YQR","CYQR",NA,199
"RV","ROU","RV1542","ROU1542","1542","YYZ","CYYZ","1","2023-06-08 14:25","YYG","CYYG",NA,122
"AZ","ITY","AZ3459","ITY3459","3459","YYZ","CYYZ","3","2023-06-08 14:30","JFK","KJFK",NA,111
