"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"ET","ETH","ET553","ETH553","553","YYZ","CYYZ","1","2023-06-06 11:00","ADD","HAAB",780
NA,"ASP",NA,"ASP814","814","YYZ","CYYZ",NA,"2023-06-06 05:19","MDW","KMDW",NA
"PD","POE","PD403","POE403","403","YYZ","CYYZ","3","2023-06-06 10:00","YEG","CYEG",250
"ZX","GGN","ZX1075","GGN1075","1075","YYZ","CYYZ",NA,"2023-06-06 09:00","TOL","KTOL",NA
"UA","UAL","UA8311","UAL8311","8311","YYZ","CYYZ",NA,"2023-06-06 08:40","CLT","KCLT",NA
"AA","AAL","AA6110","AAL6110","6110","YYZ","CYYZ","3","2023-06-06 11:01","PHL","KPHL",93
"BA","BAW","BA5759","BAW5759","5759","YYZ","CYYZ","3","2023-06-06 10:59","LGA","KLGA",92
"QF","QFA","QF3396","QFA3396","3396","YYZ","CYYZ","3","2023-06-06 11:00","YYC","CYYC",254
"CM","CMP","CM2812","CMP2812","2812","YYZ","CYYZ","1","2023-06-06 11:00","ORD","KORD",119
"EK","UAE","EK5771","UAE5771","5771","YYZ","CYYZ","1","2023-06-06 11:00","YUL","CYUL",77
"QF","QFA","QF3990","QFA3990","3990","YYZ","CYYZ","3","2023-06-06 11:00","LAX","KLAX",309
"CX","CPA","CX1523","CPA1523","1523","YYZ","CYYZ","1","2023-06-06 10:10","YVR","CYVR",310
"AM","AMX","AM4275","AMX4275","4275","YYZ","CYYZ","3","2023-06-06 11:10","JFK","KJFK",101
"AC","ACA","AC8554","ACA8554","8554","YYZ","CYYZ","1","2023-06-06 11:00","JFK","KJFK",96
"EK","UAE","EK5785","UAE5785","5785","YYZ","CYYZ","1","2023-06-06 11:05","YEG","CYEG",255
"1I","EJA","1I707","EJA707","707","YYZ","CYYZ",NA,"2023-06-06 10:00","APF","KAPF",NA
"AC","ACA","AC1818","ACA1818","1818","YYZ","CYYZ","1","2023-06-06 11:20","BDA","TXKF",165
"1I","EJA","1I686","EJA686","686","YYZ","CYYZ",NA,"2023-06-06 11:12","SDF","KSDF",NA
"QF","QFA","QF3303","QFA3303","3303","YYZ","CYYZ","3","2023-06-06 11:35","ORD","KORD",113
"RV","ROU","RV1901","ROU1901","1901","YYZ","CYYZ","1","2023-06-06 08:40","YYJ","CYYJ",307
"DL","DAL","DL1183","DAL1183","1183","YYZ","CYYZ","3","2023-06-06 11:29","ATL","KATL",135
"QK","JZA","QK8876","JZA8876","8876","YYZ","CYYZ","1","2023-06-06 11:30","EWR","KEWR",90
"TS","TSC","TS2844","TSC2844","2844","YYZ","CYYZ","3","2023-06-06 11:45","POP","MDPP",240
"WS","WJA","WS9102","WJA9102","9102","YYZ","CYYZ",NA,"2023-06-06 11:50","MIA","KMIA",192
"AC","ACA","AC1721","ACA1721","1721","YYZ","CYYZ","1","2023-06-06 09:15","PHX","KPHX",281
"VS","VIR","VS1704","VIR1704","1704","YYZ","CYYZ","3","2023-06-06 12:02","DTW","KDTW",80
"1I","EJA","1I302","EJA302","302","YYZ","CYYZ",NA,"2023-06-06 11:30","IAD","KIAD",NA
