"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"UA","UAL","UA7134","UAL7134","7134","LAX","KLAX","TBIT","2023-06-06 01:54","PTY","MPTO",402
"AM","AMX","AM649","AMX649","649","LAX","KLAX","TBIT","2023-06-06 07:00","MEX","MMMX",233
"B6","JBU","B65801","JBU5801","5801","LAX","KLAX","TBIT","2023-06-06 07:00","HNL","PHNL",350
"TN","THT","TN1298","THT1298","1298","LAX","KLAX","TBIT","2023-06-06 07:17","PHX","KPHX",92
"TN","THT","TN1314","THT1314","1314","LAX","KLAX","TBIT","2023-06-06 07:26","CLT","KCLT",295
"BA","BAW","BA4778","BAW4778","4778","LAX","KLAX","TBIT","2023-06-06 06:00","MIA","KMIA",314
"AA","AAL","AA1114","AAL1114","1114","LAX","KLAX","TBIT","2023-06-06 08:08","MIA","KMIA",326
"AA","AAL","AA2308","AAL2308","2308","LAX","KLAX","TBIT","2023-06-06 09:00","RDU","KRDU",306
"QF","QFA","QF4153","QFA4153","4153","LAX","KLAX","TBIT","2023-06-06 09:20","DFW","KDFW",206
"Y4","VOI","Y4915","VOI915","915","LAX","KLAX","TBIT","2023-06-06 09:20","GDL","MMGL",192
"B6","JBU","B65803","JBU5803","5803","LAX","KLAX","TBIT","2023-06-06 10:00","HNL","PHNL",350
"AM","AMX","AM5219","AMX5219","5219","LAX","KLAX","TBIT","2023-06-06 10:00","PVR","MMPR",181
"Y4","VOI","Y4925","VOI925","925","LAX","KLAX","TBIT","2023-06-06 10:23","AGU","MMAS",185
"AS","ASA","AS8027","ASA8027","8027","LAX","KLAX","TBIT","2023-06-06 10:28","HND","RJTT",712
"YP","APZ","YP102","APZ102","102","LAX","KLAX","TBIT","2023-06-06 10:50","ICN","RKSI",775
"HA","HAL","HA61","HAL61","61","LAX","KLAX","TBIT","2023-06-06 11:00","KOA","PHKO",340
"Y4","VOI","Y45921","VOI5921","5921","LAX","KLAX","TBIT","2023-06-06 11:23","MLM","MMMM",203
"LY","ELY","LY6","ELY6","6","LAX","KLAX","TBIT","2023-06-06 11:30","TLV","LLBG",835
"WS","WJA","WS6146","WJA6146","6146","LAX","KLAX","TBIT","2023-06-06 11:52","MEX","MMMX",233
"CM","CMP","CM8002","CMP8002","8002","LAX","KLAX","TBIT","2023-06-06 12:10","ICN","RKSI",805
"AV","AVA","AV4502","AVA4502","4502","LAX","KLAX","TBIT","2023-06-06 12:15","TPE","RCTP",830
"AM","AMX","AM6703","AMX6703","6703","LAX","KLAX","TBIT","2023-06-06 12:30","ICN","RKSI",800
"TG","THA","TG6093","THA6093","6093","LAX","KLAX","TBIT","2023-06-06 12:45","NRT","RJAA",705
"PR","PAL","PR113","PAL113","113","LAX","KLAX","TBIT","2023-06-06 12:50","MNL","RPLL",880
"LA","LAN","LA7455","LAN7455","7455","LAX","KLAX","TBIT","2023-06-06 13:05","NRT","RJAA",695
"TA","TAI","TA523","TAI523","523","LAX","KLAX","TBIT","2023-06-06 13:50","SAL","MSLP",300
"SK","SAS","SK932","SAS932","932","LAX","KLAX","TBIT","2023-06-06 13:50","CPH","EKCH",640
"KL","KLM","KL602","KLM602","602","LAX","KLAX","TBIT","2023-06-06 13:55","AMS","EHAM",610
"HY","UZB","HY7240","UZB7240","7240","LAX","KLAX","TBIT","2023-06-06 13:55","IST","LTFM",785
"DL","DAL","DL902","DAL902","902","LAX","KLAX","TBIT","2023-06-06 14:00","ATL","KATL",267
"AS","ASA","AS7317","ASA7317","7317","LAX","KLAX","TBIT","2023-06-06 13:30","HND","RJTT",715
"SQ","SIA","SQ11","SIA11","11","LAX","KLAX","TBIT","2023-06-06 14:20","NRT","RJAA",690
"AM","AMX","AM647","AMX647","647","LAX","KLAX","TBIT","2023-06-06 14:30","MEX","MMMX",225
"LR","LRC","LR641","LRC641","641","LAX","KLAX","TBIT","2023-06-06 14:45","GUA","MGGT",290
"MH","MAS","MH9794","MAS9794","9794","LAX","KLAX","TBIT","2023-06-06 14:45","DOH","OTHH",945
"OS","AUA","OS7320","AUA7320","7320","LAX","KLAX","TBIT","2023-06-06 15:00","FRA","EDDF",640
