"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"HA","HAL","HA33","HAL33","33","LAX","KLAX","TBIT","2023-06-06 08:15","OGG","PHOG",345
"BA","BAW","BA4781","BAW4781","4781","LAX","KLAX","TBIT","2023-06-06 08:08","MIA","KMIA",326
"AA","AAL","AA2308","AAL2308","2308","LAX","KLAX","TBIT","2023-06-06 09:00","RDU","KRDU",306
"BA","BAW","BA4778","BAW4778","4778","LAX","KLAX","TBIT","2023-06-06 06:00","MIA","KMIA",314
"HA","HAL","HA63","HAL63","63","LAX","KLAX","TBIT","2023-06-06 09:15","LIH","PHLI",360
"Y4","VOI","Y4915","VOI915","915","LAX","KLAX","TBIT","2023-06-06 09:20","GDL","MMGL",192
"TN","THT","TN1321","THT1321","1321","LAX","KLAX","TBIT","2023-06-06 09:20","DFW","KDFW",206
"HA","HAL","HA3","HAL3","3","LAX","KLAX","TBIT","2023-06-06 10:00","HNL","PHNL",350
"DL","DAL","DL1865","DAL1865","1865","LAX","KLAX","TBIT","2023-06-06 10:00","PVR","MMPR",181
"Y4","VOI","Y4925","VOI925","925","LAX","KLAX","TBIT","2023-06-06 10:23","AGU","MMAS",185
"AS","ASA","AS8027","ASA8027","8027","LAX","KLAX","TBIT","2023-06-06 10:28","HND","RJTT",712
"YP","APZ","YP102","APZ102","102","LAX","KLAX","TBIT","2023-06-06 10:50","ICN","RKSI",775
"TN","THT","TN1118","THT1118","1118","LAX","KLAX","TBIT","2023-06-06 10:51","PHL","KPHL",321
"HA","HAL","HA61","HAL61","61","LAX","KLAX","TBIT","2023-06-06 11:00","KOA","PHKO",340
"Y4","VOI","Y45921","VOI5921","5921","LAX","KLAX","TBIT","2023-06-06 11:23","MLM","MMMM",203
"LY","ELY","LY6","ELY6","6","LAX","KLAX","TBIT","2023-06-06 11:30","TLV","LLBG",835
"LY","ELY","LY8215","ELY8215","8215","LAX","KLAX","TBIT","2023-06-06 11:52","MEX","MMMX",233
"TG","THA","TG6243","THA6243","6243","LAX","KLAX","TBIT","2023-06-06 12:15","TPE","RCTP",830
"MX","MXY","MX503","MXY503","503","LAX","KLAX","TBIT","2023-06-06 12:20","JAX","KJAX",280
"TG","THA","TG6732","THA6732","6732","LAX","KLAX","TBIT","2023-06-06 12:10","ICN","RKSI",805
"DL","DAL","DL9045","DAL9045","9045","LAX","KLAX","TBIT","2023-06-06 12:30","ICN","RKSI",800
"MX","MXY","MX703","MXY703","703","LAX","KLAX","TBIT","2023-06-06 12:45","RIC","KRIC",305
"NH","ANA","NH5","ANA5","5","LAX","KLAX","TBIT","2023-06-06 12:45","NRT","RJAA",705
"PR","PAL","PR113","PAL113","113","LAX","KLAX","TBIT","2023-06-06 12:50","MNL","RPLL",880
"JL","JAL","JL61","JAL61","61","LAX","KLAX","TBIT","2023-06-06 13:05","NRT","RJAA",695
"HY","UZB","HY7240","UZB7240","7240","LAX","KLAX","TBIT","2023-06-06 13:55","IST","LTFM",785
"BR","EVA","BR3101","EVA3101","3101","LAX","KLAX","TBIT","2023-06-06 13:50","SAL","MSLP",300
"SK","SAS","SK932","SAS932","932","LAX","KLAX","TBIT","2023-06-06 13:50","CPH","EKCH",640
"DL","DAL","DL9468","DAL9468","9468","LAX","KLAX","TBIT","2023-06-06 13:55","AMS","EHAM",610
"LA","LAN","LA6178","LAN6178","6178","LAX","KLAX","TBIT","2023-06-06 14:00","ATL","KATL",267
"JL","JAL","JL15","JAL15","15","LAX","KLAX","TBIT","2023-06-06 13:30","HND","RJTT",715
"SQ","SIA","SQ11","SIA11","11","LAX","KLAX","TBIT","2023-06-06 14:20","NRT","RJAA",690
"KE","KAL","KE7941","KAL7941","7941","LAX","KLAX","TBIT","2023-06-06 14:30","MEX","MMMX",225
"LR","LRC","LR641","LRC641","641","LAX","KLAX","TBIT","2023-06-06 14:45","GUA","MGGT",290
"MH","MAS","MH9794","MAS9794","9794","LAX","KLAX","TBIT","2023-06-06 14:45","DOH","OTHH",945
"AZ","ITY","AZ621","ITY621","621","LAX","KLAX","TBIT","2023-06-06 15:10","FCO","LIRF",710
"DL","DAL","DL8553","DAL8553","8553","LAX","KLAX","TBIT","2023-06-06 15:25","CDG","LFPG",650
"DL","DAL","DL5978","DAL5978","5978","LAX","KLAX","TBIT","2023-06-06 15:40","LHR","EGLL",620
"AA","AAL","AA6935","AAL6935","6935","LAX","KLAX","TBIT","2023-06-06 15:45","LHR","EGLL",625
"SN","BEL","SN7251","BEL7251","7251","LAX","KLAX","TBIT","2023-06-06 15:00","FRA","EDDF",640
"FJ","FJI","FJ5099","FJI5099","5099","LAX","KLAX","TBIT","2023-06-06 16:30","DFW","KDFW",190
"AA","AAL","AA7223","AAL7223","7223","LAX","KLAX","TBIT","2023-06-06 16:30","PPT","NTAA",490
"QR","QTR","QR740","QTR740","740","LAX","KLAX","TBIT","2023-06-06 16:35","DOH","OTHH",955
"EK","UAE","EK216","UAE216","216","LAX","KLAX","TBIT","2023-06-06 16:40","DXB","OMDB",950
"DL","DAL","DL1856","DAL1856","1856","LAX","KLAX","TBIT","2023-06-06 16:50","BNA","KBNA",244
"VS","VIR","VS6849","VIR6849","6849","LAX","KLAX","TBIT","2023-06-06 16:55","AMS","EHAM",615
"AY","FIN","AY5470","FIN5470","5470","LAX","KLAX","TBIT","2023-06-06 17:05","LHR","EGLL",625
"LH","DLH","LH453","DLH453","453","LAX","KLAX","TBIT","2023-06-06 17:10","MUC","EDDM",665
"Y4","VOI","Y4345","VOI345","345","LAX","KLAX","TBIT","2023-06-06 17:11","GDL","MMGL",192
"NH","ANA","NH125","ANA125","125","LAX","KLAX","TBIT","2023-06-06 17:15","HND","RJTT",700
"VS","VIR","VS142","VIR142","142","LAX","KLAX","TBIT","2023-06-06 17:55","LHR","EGLL",620
"HA","HAL","HA9","HAL9","9","LAX","KLAX","TBIT","2023-06-06 18:00","HNL","PHNL",350
"AA","AAL","AA134","AAL134","134","LAX","KLAX","TBIT","2023-06-06 18:13","LHR","EGLL",637
"AA","AAL","AA2991","AAL2991","2991","LAX","KLAX","TBIT","2023-06-06 18:15","SAT","KSAT",170
"AF","AFR","AF69","AFR69","69","LAX","KLAX","TBIT","2023-06-06 18:20","CDG","LFPG",650
"PK","PIA","PK5010","PIA5010","5010","LAX","KLAX","TBIT","2023-06-06 18:35","IST","LTFM",780
"AM","AMX","AM643","AMX643","643","LAX","KLAX","TBIT","2023-06-06 19:02","MEX","MMMX",233
"Y4","VOI","Y4913","VOI913","913","LAX","KLAX","TBIT","2023-06-06 19:11","GDL","MMGL",192
"UA","UAL","UA9729","UAL9729","9729","LAX","KLAX","TBIT","2023-06-06 19:25","ZRH","LSZH",675
